city,utc_adjust
kuala_lumpur,8
waypoint,lon,lat
WP1,101.5492,3.130800026
transit,101.54671815629797,3.1394136350020267
transit,101.54423627194012,3.148027236663594
transit,101.54175434681403,3.1566408309644505
transit,101.53927238080729,3.165254417884345
transit,101.53679037380748,3.173867997403025
transit,101.53430832570216,3.1824815695002364
transit,101.53182623637889,3.1910951341557263
transit,101.52934410572523,3.1997086913492376
transit,101.52686193362874,3.2083222410605168
transit,101.52437971997692,3.216935783269303
transit,101.52189746465734,3.225549317955342
transit,101.51941516755753,3.2341628450983726
transit,101.51693282856498,3.242776364678136
transit,101.51445044756721,3.25138987667437
transit,101.51196802445175,3.2600033810668148
transit,101.50948555910605,3.268616877835206
transit,101.50700305141764,3.277230366959282
transit,101.504520501274,3.2858438484187764
transit,101.50203790856257,3.2944573221934257
transit,101.49955527317086,3.3030707882629624
transit,101.4970725949863,3.3116842466071192
transit,101.49458987389636,3.320297697205628
transit,101.49210710978849,3.3289111400382203
transit,101.4896243025501,3.337524575084625
transit,101.48714145206866,3.3461380023245715
transit,101.48465855823156,3.3547514217377885
transit,101.48217562092623,3.363364833304001
transit,101.47969264004007,3.3719782370029368
transit,101.4772096154605,3.3805916328143213
transit,101.4747265470749,3.3892050207178777
transit,101.47224343477065,3.3978184006933283
transit,101.46976027843515,3.4064317727203974
transit,101.46727707795574,3.4150451367788057
transit,101.4647938332198,3.4236584928482725
transit,101.4623105441147,3.432271840908518
transit,101.45982721052776,3.44088518093926
transit,101.45734383234634,3.4494985129202176
transit,101.45486040945775,3.4581118368311032
transit,101.45237694174935,3.4667251526516365
transit,101.44989342910843,3.4753384603615296
transit,101.4474098714223,3.483951759940496
transit,101.44492626857826,3.4925650513682487
transit,101.44244262046362,3.5011783346244996
transit,101.43995892696566,3.5097916096889565
transit,101.43747518797166,3.5184048765413327
transit,101.43499140336887,3.5270181351613346
transit,101.43250757304457,3.535631385528669
transit,101.43002369688602,3.544244627623043
transit,101.42753977478047,3.5528578614241626
transit,101.42505580661513,3.5614710869117308
transit,101.42257179227725,3.5700843040654515
transit,101.42008773165406,3.5786975128650287
transit,101.41760362463276,3.587310713290161
transit,101.41511947110057,3.5959239053205514
transit,101.41263527094466,3.6045370889358965
transit,101.41015102405225,3.6131502641158972
transit,101.40766673031052,3.6217634308402493
transit,101.40518238960665,3.6303765890886495
transit,101.40269800182779,3.6389897388407912
transit,101.4002135668611,3.6476028800763705
transit,101.39772908459373,3.656216012775081
transit,101.39524455491284,3.6648291369166115
transit,101.39275997770554,3.673442252480657
transit,101.39027535285896,3.682055359446906
transit,101.38779068026024,3.6906684577950455
transit,101.38530595979645,3.699281547504767
transit,101.38282119135474,3.7078946285557537
transit,101.38033637482216,3.7165077009276932
transit,101.37785151008582,3.725120764600269
transit,101.37536659703278,3.7337338195531657
transit,101.37288163555012,3.7423468657660672
transit,101.37039662552489,3.7509599032186514
transit,101.36791156684416,3.759572931890603
transit,101.36542645939494,3.768185951761598
transit,101.36294130306429,3.7767989628113146
transit,101.36045609773923,3.7854119650194322
transit,101.35797084330677,3.7940249583656254
transit,101.35548553965394,3.802637942829569
transit,101.35300018666771,3.811250918390939
transit,101.35051478423509,3.8198638850294078
transit,101.34802933224306,3.828476842724643
transit,101.3455438305786,3.837089791456321
transit,101.34305827912867,3.845702731204107
transit,101.34057267778023,3.854315661947672
transit,101.33808702642023,3.8629285836666845
transit,101.33560132493561,3.8715414963408064
transit,101.33311557321329,3.880154399949707
transit,101.33062977114021,3.888767294473048
transit,101.32814391860327,3.897380179890492
transit,101.3256580154894,3.905993056181703
transit,101.32317206168547,3.91460592332634
transit,101.32068605707839,3.923218781304064
transit,101.31820000155501,3.931831630094532
transit,101.31571389500223,3.9404444696774013
transit,101.3132277373069,3.94905730003233
transit,101.31074152835589,3.9576701211389724
transit,101.308255268036,3.9662829329769806
transit,101.30576895623412,3.9748957355260095
transit,101.30328259283704,3.9835085287657095
transit,101.30079617773158,3.9921213126757333
transit,101.29830971080456,4.000734087235728
transit,101.29582319194279,4.009346852425342
transit,101.29333662103303,4.017959608224223
transit,101.29084999796208,4.026572354612019
transit,101.28836332261672,4.035185091568371
transit,101.2858765948837,4.043797819072925
transit,101.28338981464978,4.052410537105323
transit,101.28090298180172,4.061023245645206
transit,101.27841609622622,4.069635944672215
transit,101.27592915781004,4.0782486341659885
transit,101.27344216643988,4.086861314106163
transit,101.27095512200246,4.09547398447238
transit,101.26846802438449,4.104086645244268
transit,101.26598087347263,4.112699296401466
